time,velocity,angle of road,acceleration,rolling resistance,air resistance,gradient resistance,inertial resistance,total resistance,total power,effective power,battery capacity,range
107.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.55655163651957,61.56356803346649
108.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.54498964717892,61.55634581124426
109.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.53342765783829,61.54912358902204
110.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.52186566849764,61.54190136679982
111.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.51030367915699,61.53467914456918
112.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.49874168981636,61.52745692235538
113.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.4871797004757,61.52023470013315
114.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.47561771113507,61.51301247791093
115.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.46405572179442,61.505790255688694
116.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.45249373245379,61.49856803346648
117.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.44093174311314,61.491345811244265
118.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.42936975377249,61.484123589013635
119.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.41780776443186,61.47690136679981
120.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.40624577509121,61.4696791445776
121.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.39468378575057,61.46245692235537
122.0,6.5,1.0,0.0,4.115373113263707,8.03088,17.958526223964732,0.0,30.10477933722844,195.68106569198486,145.68106569198486,98.38312179640992,61.45523470013314
